delay0,distance0,evm0,ber0,ser0,startingx_idx0,delay1,distance1,evm1,ber1,ser1,startingx_idx1,delay2,distance2,evm2,ber2,ser2,startingx_idx2
-97996.2,1.0999999999985448,-18.262092051008615,0.000975975975975976,0.003903903903903904,20084.0,-98001.3,1.0999999999985448,-18.663771596861615,0.0005255255255255255,0.002102102102102102,20085.0,-97995.8,1.0700207541958662,-19.385824834407078,7.507507507507507e-05,0.0003003003003003003,11934.0
-97996.5,1.0100622626014228,-17.50039757119726,0.0015015015015015015,0.006006006006006006,20084.0,-98001.0,1.1899377374029427,-19.324462512467584,0.00015015015015015014,0.0006006006006006006,20085.0,-98000.4,-0.3090245526036597,-19.426865500966397,0.00022522522522522523,0.0009009009009009009,12072.0
-97995.8,1.2199169831983454,-17.833923738184666,0.0012762762762762762,0.005105105105105105,20084.0,-98001.4,1.0700207542031421,-19.780585774003846,0.00015015015015015014,0.0006006006006006006,20085.0,-97995.8,1.0700207541958662,-18.57945692517534,0.00015015015015015014,0.0006006006006006006,6406.0
-97996.40000000001,1.0400415084004635,-19.030408528179354,0.0005255255255255255,0.002102102102102102,20084.0,-98001.3,1.0999999999985448,-18.035013488205323,0.00037537537537537537,0.0015015015015015015,20085.0,-98000.59999999999,-0.368983044201741,-19.4824265197366,7.507507507507507e-05,0.0003003003003003003,8187.0
-97997.9,0.5903528214003018,-20.360994550906053,0.00015015015015015014,0.0006006006006006006,20084.0,-98001.0,1.1899377374029427,-18.406762178588945,0.0007507507507507507,0.003003003003003003,20085.0,-97995.4,1.1899377373956668,-18.7216337331252,0.00045045045045045046,0.0018018018018018018,2979.0
-97996.8,0.9201245251970249,-15.072522051430933,0.010885885885885885,0.04354354354354354,20084.0,-98001.1,1.159958491600264,-16.57123064441008,0.002627627627627628,0.010510510510510511,20085.0,-97995.5,1.159958491600264,-19.779146834424942,0.00015015015015015014,0.0006006006006006006,8311.0
-97996.6,0.9800830167987442,-19.005814285539255,0.00015015015015015014,0.0006006006006006006,20084.0,-98001.6,1.0100622626014228,-18.697138708739125,0.0003003003003003003,0.0012012012012012011,20085.0,-97995.9,1.0400415083968255,-17.66810234752952,0.0036036036036036037,0.014414414414414415,7840.0
-97996.29999999999,1.0700207541995042,-16.526189518402873,0.0035285285285285286,0.014114114114114115,20084.0,-98001.4,1.0700207542031421,-18.91447824671583,0.0003003003003003003,0.0012012012012012011,20085.0,-98000.70000000001,-0.39896229000441963,-19.357659355264126,7.507507507507507e-05,0.0003003003003003003,13578.0
-97997.9,0.5903528214003018,-17.56128914651419,0.0015765765765765765,0.006306306306306306,20084.0,-98001.4,1.0700207542031421,-19.290139159822864,0.00022522522522522523,0.0009009009009009009,20085.0,-98000.70000000001,-0.39896229000441963,-19.09178904177409,0.00022522522522522523,0.0009009009009009009,10247.0
-97996.7,0.9501037709997036,-17.935183600920553,0.0003003003003003003,0.0012012012012012011,20084.0,-98001.3,1.0999999999985448,-18.93530822362824,0.00037537537537537537,0.0015015015015015015,20085.0,-97995.6,1.1299792457975855,-19.411316407946448,0.0,0.0,13270.0
