delay0,distance0,delay1,distance1,evm0,evm1,ber0,ber1,ser0,ser1
-118156.70000000001,1.1299792457939475,-118160.4,1.0700207542031421,-18.22987883141225,-15.570605244639077,0.0006006006006006006,0.007207207207207207,0.0024024024024024023,0.02702702702702703
-118156.5,1.1899377373920288,-118160.3,1.0999999999985448,5.459405958294456,6.161053098561,0.4954204204204204,0.49406906906906906,0.9378378378378378,0.9354354354354354
-118156.4,1.2199169831947074,-118161.1,0.8601660335989436,-17.155841433841964,4.511601362704604,0.001951951951951952,0.4879129129129129,0.007807807807807808,0.9267267267267267
-118156.8,1.0999999999985448,-118160.90000000001,0.9201245252043009,-19.59896904390734,-10.154110513455763,0.0,0.03618618618618619,0.0,0.13513513513513514
-118156.9,1.0700207541958662,-118161.2,0.8301867878035409,-16.919546091160317,-9.998970301917884,0.0024774774774774773,0.04159159159159159,0.00990990990990991,0.16126126126126125
-118156.9,1.0700207541958662,-118161.1,0.8601660335989436,-18.53626693196074,-10.812374680697818,0.00037537537537537537,0.029504504504504505,0.0015015015015015015,0.1111111111111111
-118156.9,1.0700207541958662,-118160.79999999999,0.9501037710069795,-17.953290544775456,-9.137037477501973,0.0012762762762762762,0.034684684684684684,0.005105105105105105,0.13423423423423422
-118157.09999999999,1.0100622625977849,-118161.0,0.8901452794016222,6.671145200868791,-8.89447016217498,0.49106606606606606,0.04857357357357357,0.9369369369369369,0.1864864864864865
-118157.09999999999,1.0100622625977849,-118160.7,0.9800830168023822,-18.904923245465078,-10.801629057137397,0.00015015015015015014,0.03528528528528529,0.0006006006006006006,0.13543543543543543
-118156.9,1.0700207541958662,-118160.90000000001,0.9201245252043009,-16.872084507504496,4.924441221376952,0.0015765765765765765,0.48761261261261263,0.006306306306306306,0.9294294294294294
-118156.8,1.0999999999985448,-118160.90000000001,0.9201245252043009,6.397566240407118,-2.6013876403224403,0.4946696696696697,0.055855855855855854,0.9372372372372373,0.2063063063063063
-118156.9,1.0700207541958662,-118161.2,0.8301867878035409,-16.35213901396948,-11.673621025750833,0.0037537537537537537,0.03265765765765766,0.015015015015015015,0.12072072072072072
-118157.0,1.0400415083931875,-118161.0,0.8901452794016222,5.903138929871803,5.370191089426842,0.49444444444444446,0.5021021021021022,0.9396396396396396,0.9372372372372373
-118156.9,1.0700207541958662,-118161.0,0.8901452794016222,-17.310797016762084,-12.645645904087816,0.0014264264264264265,0.019594594594594596,0.005705705705705706,0.07687687687687687
