delay0,distance0,delay1,distance1
-118154.8,1.0999999999985448,-118160.1,1.0999999999985448
-118157.8,0.20062262599822134,-118160.2,1.0700207541958662
-118157.6,0.26058111759630265,-118160.1,1.0999999999985448
-118157.09999999999,0.41047734660241986,-118160.2,1.0700207541958662
-118157.7,0.23060187180089997,-118160.2,1.0700207541958662
-118156.2,0.6802905587974237,-118160.59999999999,0.9501037709997036
-118157.09999999999,0.41047734660241986,-118160.7,0.9201245251970249
-118156.5,0.5903528213966638,-118160.4,1.0100622625977849
-118156.4,0.6203320671993424,-118160.59999999999,0.9501037709997036
-118156.6,0.5603735756012611,-118160.4,1.0100622625977849
-118156.9,0.47043583820050117,-118160.3,1.0400415083931875
-118156.4,0.6203320671993424,-118160.4,1.0100622625977849
-118157.4,0.3205396092016599,-118160.4,1.0100622625977849
-118156.6,0.5603735756012611,-118160.59999999999,0.9501037709997036
-118156.6,0.5603735756012611,-118160.7,0.9201245251970249
-118157.0,0.44045659239782253,-118160.79999999999,0.8901452794016222
-118156.8,0.5004150840031798,-118160.5,0.9800830167951062
-118157.8,0.20062262599822134,-118160.7,0.9201245251970249
-118157.4,0.3205396092016599,-118161.0,0.830186787796265
-118157.2,0.3804981007997412,-118160.79999999999,0.8901452794016222
-118157.7,0.23060187180089997,-118160.59999999999,0.9501037709997036
-118157.2,0.3804981007997412,-118161.0,0.830186787796265
-118157.2,0.3804981007997412,-118161.3,0.740249050395505
-118157.09999999999,0.41047734660241986,-118161.0,0.830186787796265
-118157.7,0.23060187180089997,-118160.90000000001,0.8601660335989436
-118157.5,0.2905603633989813,-118161.0,0.830186787796265
-118157.2,0.3804981007997412,-118160.7,0.9201245251970249
-118157.29999999999,0.35051885500433855,-118161.3,0.740249050395505
-118157.4,0.3205396092016599,-118161.4,0.7102698046001024
-118157.8,0.20062262599822134,-118161.0,0.830186787796265
-118157.7,0.23060187180089997,-118161.3,0.740249050395505
-118157.7,0.23060187180089997,-118161.1,0.8002075419935863
-118157.7,0.23060187180089997,-118161.4,0.7102698046001024
-118157.8,0.20062262599822134,-118161.3,0.740249050395505
-118157.6,0.26058111759630265,-118161.3,0.740249050395505
-118158.0,0.14066413440014003,-118161.5,0.6802905587974237
-118158.0,0.14066413440014003,-118161.4,0.7102698046001024
-118157.7,0.23060187180089997,-118161.3,0.740249050395505
-118157.8,0.20062262599822134,-118161.59999999999,0.6503113129947451
-118157.8,0.20062262599822134,-118161.5,0.6802905587974237
-118157.6,0.26058111759630265,-118161.59999999999,0.6503113129947451
-118157.8,0.20062262599822134,-118162.2,0.47043583820050117
-118157.9,0.17064338020281866,-118161.3,0.740249050395505
-118157.9,0.17064338020281866,-118161.2,0.7702282961981837
-118158.2,0.08070564280205872,-118162.0,0.5303943297985825
-118158.0,0.14066413440014003,-118161.90000000001,0.5603735755939852
-118158.3,0.050726396999380086,-118162.0,0.5303943297985825
-118158.09999999999,0.11068488860473735,-118161.7,0.6203320671920665
-118158.5,-0.009232094598701224,-118161.8,0.5903528213966638
-118158.2,0.08070564280205872,-118162.0,0.5303943297985825
-118158.6,-0.03921134040137986,-118161.8,0.5903528213966638
-118158.09999999999,0.11068488860473735,-118161.8,0.5903528213966638
-118158.5,-0.009232094598701224,-118161.8,0.5903528213966638
-118158.8,-0.09916983199946117,-118162.1,0.5004150839959038
-118158.3,0.050726396999380086,-118162.2,0.47043583820050117
-118158.3,0.050726396999380086,-118162.3,0.44045659239782253
-118158.3,0.050726396999380086,-118162.3,0.44045659239782253
-118158.9,-0.1291490778021398,-118162.2,0.47043583820050117
-118158.8,-0.09916983199946117,-118162.2,0.47043583820050117
