delay0,distance0,evm0,ber0,ser0,startingx_idx0,delay1,distance1,evm1,ber1,ser1,startingx_idx1,delay2,distance2,evm2,ber2,ser2,startingx_idx2
-95997.2,0.740249050399143,-15.48022258400617,0.004429429429429429,0.017717717717717716,20084.0,-96001.09999999999,1.0100622626014228,-17.152014093449644,0.002777777777777778,0.011111111111111112,20085.0,-95995.3,2.5689830441988306,-15.757901090081226,0.003003003003003003,0.012012012012012012,4341.0
-95996.4,0.9800830167987442,-17.140144976653,0.001051051051051051,0.004204204204204204,20084.0,-96001.7,0.830186787799903,-19.64629054255184,0.00015015015015015014,0.0006006006006006006,20085.0,-95996.0,2.35912832359827,-18.570693373740678,0.0014264264264264265,0.005705705705705706,4078.0
-95996.1,1.0700207541995042,-18.73130168577476,7.507507507507507e-05,0.0003003003003003003,20084.0,-96001.3,0.9501037709997036,-15.012221328571737,0.008708708708708709,0.03453453453453453,20085.0,-95995.7,2.44906606099903,-18.40609823549883,0.0005255255255255255,0.002102102102102102,11456.0
-95997.59999999999,0.6203320671993424,-20.019827357488392,0.00045045045045045046,0.0018018018018018018,20084.0,-96002.59999999999,0.5603735756012611,-19.20907104163777,0.00015015015015015014,0.0006006006006006006,20085.0,-95997.0,2.0593358656005876,-17.867956528770787,0.0006006006006006006,0.0024024024024024023,10357.0
-95998.2,0.44045659239782253,-18.023324402073406,0.00015015015015015014,0.0006006006006006006,20084.0,-96001.9,0.7702282961981837,-20.15593707405546,0.00022522522522522523,0.0009009009009009009,20085.0,-95996.2,2.2991698320001888,-20.202015952592465,0.0,0.0,1862.0
-95997.90000000001,0.5303943297949445,-18.696788218418618,0.000975975975975976,0.003903903903903904,20084.0,-96001.40000000001,0.9201245251970249,-19.279548428518925,0.0006756756756756757,0.002702702702702703,20085.0,-95995.6,2.4790453067944327,-17.985180634523797,0.0007507507507507507,0.003003003003003003,2939.0
-95997.3,0.7102698045964644,-16.966805254638327,0.0006756756756756757,0.002702702702702703,20084.0,-96001.6,0.8601660335989436,-18.20705889336365,0.00037537537537537537,0.0015015015015015015,20085.0,-96000.9,0.8901452793979843,-20.461593994259513,7.507507507507507e-05,0.0003003003003003003,7111.0
-95997.90000000001,0.5303943297949445,-17.411873113292636,0.0006756756756756757,0.002702702702702703,20084.0,-96001.6,0.8601660335989436,-17.37759647520016,0.00022522522522522523,0.0009009009009009009,20085.0,-96000.8,0.9201245251970249,-17.392379052455425,0.003228228228228228,0.012912912912912912,8680.0
-95997.59999999999,0.6203320671993424,-19.945234681984758,7.507507507507507e-05,0.0003003003003003003,20084.0,-96002.2,0.6802905588010617,-18.439429367712417,0.0012012012012012011,0.004804804804804805,20085.0,-96001.5,0.7102698045964644,-18.50967423789654,0.0006006006006006006,0.0024024024024024023,6683.0
-95998.2,0.44045659239782253,-14.857788165373593,0.012912912912912912,0.05105105105105105,20084.0,-96002.1,0.7102698046001024,-14.87130797883986,0.006156156156156156,0.024324324324324326,20085.0,-95996.2,2.2991698320001888,-17.79592744425955,0.0005255255255255255,0.002102102102102102,7734.0
